date,all - actual,all - trend,all - seasonal,larceny - actual,larceny - trend,larceny - seasonal
2006-01-01,71,,5.04191991220139,5.0,,0.8174919394735479
2006-01-02,22,,12.0429161762114,4.0,,-0.545148160152853
2006-01-03,29,,6.22473435802954,4.0,,-0.7267172759685441
2006-01-04,24,,-1.77377124595552,5.0,,0.273033658028965
2006-01-05,30,,-5.68037149502152,6.0,,-0.36407717634214404
2006-01-06,19,,-1.31623699938018,3.0,,-1.90853545778673
2006-01-07,22,,-2.40515356226934,4.0,,-0.453740937238781
2006-01-08,17,,-1.67763176899412,4.0,,0.182124567119874
2006-01-09,19,,0.6867517926497111,7.0,,0.0909664102082921
2006-01-10,15,,-2.31349727335278,4.0,,1.1813773691123999
2006-01-11,22,,-0.0412681326304886,3.0,,5.73192992013062e-05
2006-01-12,20,,-3.86144247883223,5.0,,0.8167447414660759
2006-01-13,29,,-3.8579555547973596,8.0,,-0.547389754175269
2006-01-14,24,,-3.4006703742245095,6.0,,-0.638298845084361
2006-01-15,24,,-2.4925757291435597,6.0,,0.360704890905677
2006-01-16,19,,-2.39892691220708,4.0,,-0.730204200003414
2006-01-17,24,,-0.48659814508378796,7.0,,-0.456231597263688
2006-01-18,20,,-2.3944437241622403,10.0,,-0.639295109094323
2006-01-19,31,,-4.75434409776125,6.0,,-0.186991248571284
2006-01-20,34,,-0.845502254672829,8.0,,-0.18823657858373802
2006-01-21,17,,-3.48111869302899,7.0,,0.176645115065079
2006-01-22,19,,-0.842762528645432,5.0,,-1.09359149763729
2006-01-23,23,,-1.2059007602768101,3.0,,-0.000938944710760886
2006-01-24,25,,1.52510795703327,3.0,,-0.817377300875144
2006-01-25,27,,-1.7461249196790503,2.0,,-1.18076459850902
2006-01-26,28,,0.528096749063163,4.0,,-0.271673689418108
2006-01-27,20,,-1.55808008779861,2.0,,0.272784592026475
2006-01-28,22,,-0.5553403617712099,7.0,,-0.635559119056962
2006-01-29,20,,-4.55309876774879,4.0,,-0.635060987051981
2006-01-30,29,,-4.461442478832231,3.0,,0.818737269486002
2006-01-31,25,,-0.18522828207008898,3.0,,-0.998448284685854
2006-02-01,59,,0.268071842462913,14.0,,1.18162643511489
2006-02-02,23,,1.1838875336210701,1.0,,-0.36208464832221704
2006-02-03,22,,-0.353596899753775,1.0,,-0.5451481601528521
2006-02-04,24,,-1.80141757223198,4.0,,0.0922117402207468
2006-02-05,13,,-2.52345991345241,2.0,,0.4570934338695639
2006-02-06,24,,0.7530033493122259,7.0,,-0.7272154079735251
2006-02-07,29,,-2.33267535554456,5.0,,-1.82011702690254
2006-02-08,25,,2.30941679887636,7.0,,0.36170115491564
2006-02-09,18,,-0.688341607101224,4.0,,-0.911773315819104
2006-02-10,31,,-1.5042818312606299,8.0,,-0.0950858936522302
2006-02-11,19,,-2.59270026214481,6.0,,-0.3685603643869749
2006-02-12,25,,-0.502538369243192,7.0,,-0.733940190040773
2006-02-13,31,,-0.22408257845863397,4.0,,-0.550129480202666
2006-02-14,30,,1.9614715933969098,9.0,,-2.73269486002832
2006-02-15,27,,-0.40415729825938107,5.0,,0.17739231307255202
2006-02-16,26,,-2.31175381133535,9.0,,-0.640291373104285
2006-02-17,25,,-4.03952467061305,5.0,,0.17764137907504302
2006-02-18,20,,-0.586473612082544,6.0,,0.9955741312543701
2006-02-19,21,,0.141546313197656,4.0,,-1.5506276122076499
2006-02-20,22,,-3.58647361208254,5.0,,0.35871236288575203
2006-02-21,21,,-0.498055181198359,4.0,,-0.733442058035792
2006-02-22,20,,-2.95260063574381,4.0,,0.175150719050136
2006-02-23,16,,-1.9518534377363401,4.0,,-0.279394735495318
2006-02-24,22,,-3.86194061083721,7.0,,0.355474504853374
2006-02-25,28,,-0.315987933377685,7.0,,-0.374787014449241
2006-02-26,21,,-3.7732731139505398,7.0,,-0.28487418755011307
2006-02-27,16,,1.77267956350899,4.0,,-0.102806939729441
2006-02-28,31,,1.3181341089635301,3.0,,-0.376530476466676
2006-03-01,35,,1.22797221606192,6.0,,-0.287613913577511
2006-03-02,24,,3.1383084551652796,2.0,,-0.19695388867091
2006-03-03,30,,0.598831493770507,6.0,,-0.7421593681229649
2006-03-04,18,,-0.12819216749973,5.0,,-0.37852300448660203
2006-03-05,21,,1.5099149308813402,3.0,,0.711887954417508
2006-03-06,32,,1.69073684868956,6.0,,-1.1984482846858502
2006-03-07,29,,1.60007682378296,4.0,,-0.7446500281478721
2006-03-08,29,,-3.03603774657819,5.0,,-0.656729729268669
2006-03-09,24,,-1.7643067378608799,3.0,,-0.29384056363977695
2006-03-10,25,,-2.7638086058559,6.0,,-0.20342960473566699
2006-03-11,25,,-2.5844810840626202,6.0,,-0.20666746276804604
2006-03-12,17,,-1.49506638916847,4.0,,-1.2970784216721598
2006-03-13,22,,-2.76605019987831,2.0,,-0.47914566949282794
2006-03-14,24,,-0.492326663141076,8.0,,-0.480889131510262
2006-03-15,26,,0.41651517994734205,6.0,,-0.84601989116157
2006-03-16,23,,-0.308266887300478,3.0,,0.24314573773008605
2006-03-17,30,,1.78089874159118,8.0,,-1.30355413773691
2006-03-18,19,,1.6899896506820902,2.0,,-0.214388508845256
2006-03-19,19,,2.7759174215413602,5.0,,-1.9429065661304399
2006-03-20,29,,-1.85994808281729,7.0,,0.147006260768692
2006-03-21,36,,-2.49830424720085,6.0,,1.41848820348351
2006-03-22,30,,-2.13865293960434,8.0,,-0.5832552585339229
2006-03-23,27,,-3.04774384869525,5.0,,0.41425408144117104
2006-03-24,33,,-2.49855331320334,9.0,,-0.13394019004077198
2006-03-25,21,,-0.6828621550464329,5.0,,0.683494430133574
2006-03-26,32,,1.86134706039566,8.0,,1.86581074395674
2006-03-27,30,,1.4947219047294098,8.0,,0.138288950681519
2006-03-28,28,,0.495718168739371,9.0,,0.7741544550401741
2006-03-29,23,,-1.96281234184593,6.0,,-0.682134461522715
2006-03-30,20,,0.488993386672123,5.0,,-0.773541684436787
2006-03-31,27,,-2.05596302677744,4.0,,-0.500814411709515
2006-04-01,28,,-3.05820462079986,7.0,,-1.50156160971699
2006-04-02,17,,4.67255503050774,1.0,,0.133805762636687
2006-04-03,23,,4.5789062135712495,3.0,,-0.5949613606509839
2006-04-04,20,,2.12386262702081,3.0,,1.2219751275183799
2006-04-05,25,,-0.0584536868023486,3.0,,0.492958938228219
2006-04-06,32,,-1.42482977646611,6.0,,-1.3247247479486202
2006-04-07,31,,-1.0629368748471801,2.0,,1.8555990378546203
2006-04-08,26,,0.48451019862729,5.0,,0.0359228236578581
2006-04-09,22,,0.847648430258672,3.0,,-1.6016861427182298
2006-04-10,31,,2.39235577770575,5.0,,-0.693840563639776
2006-04-11,24,,3.21003946388258,4.0,,0.48598509015847996
2006-04-12,20,,-1.8818658910364698,3.0,,0.392834405226974
2006-04-13,32,,-2.97277498194556,9.0,,0.7569689008683191
2006-04-14,29,,-3.78996053611742,7.0,,-0.5175018338763889
2006-04-15,28,,-1.70054584122327,5.0,,-0.517750899878879
2006-04-16,19,,1.6655811824380002,7.0,,-2.42808713898224
2006-04-17,25,,2.3014466867966603,6.0,,-0.0654470393558409
2006-04-18,33,,0.7510108212922969,7.0,,-0.0654470393558407
2006-04-19,16,,-1.6123764763415802,5.0,,-0.6101543868029139
2006-04-20,33,,1.66234332440562,6.0,,-0.9732926184342959
2006-04-21,32,,0.209043199872621,9.0,,-0.0664433033658034
2006-04-22,26,,-1.2437587926554,5.0,,0.113880482437435
