grid_id,count,Longitude_round,Latitude_round
284,3,-118.461,34.011
285,4,-118.46,34.011
287,92,-118.497,34.012
288,67,-118.496,34.012
289,45,-118.494,34.012
290,144,-118.493,34.012
291,2,-118.492,34.012
292,1,-118.491,34.012
293,3,-118.49,34.012
295,22,-118.484,34.012
296,31,-118.483,34.012
297,20,-118.482,34.012
298,9,-118.481,34.012
300,5,-118.479,34.012
301,5,-118.478,34.012
302,2,-118.477,34.012
303,1,-118.476,34.012
304,1,-118.475,34.012
306,6,-118.472,34.012
307,1,-118.47,34.012
308,10,-118.469,34.012
309,4,-118.468,34.012
312,2,-118.463,34.012
313,1,-118.462,34.012
315,1,-118.46,34.012
316,2,-118.458,34.012
317,33,-118.497,34.013
318,45,-118.496,34.013
319,98,-118.495,34.013
320,78,-118.493,34.013
321,9,-118.492,34.013
322,1,-118.491,34.013
323,28,-118.489,34.013
325,70,-118.484,34.013
326,24,-118.482,34.013
328,6,-118.48,34.013
330,2,-118.478,34.013
333,2,-118.475,34.013
334,2,-118.474,34.013
335,7,-118.472,34.013
336,16,-118.466,34.013
337,3,-118.465,34.013
338,4,-118.464,34.013
339,1,-118.463,34.013
340,3,-118.462,34.013
342,1,-118.46,34.013
343,3,-118.459,34.013
344,2,-118.5,34.014
345,11,-118.499,34.014
346,9,-118.498,34.014
347,91,-118.496,34.014
348,36,-118.495,34.014
349,32,-118.493,34.014
350,21,-118.492,34.014
351,10,-118.491,34.014
352,4,-118.49,34.014
353,5,-118.487,34.014
354,1,-118.486,34.014
355,12,-118.485,34.014
356,1,-118.484,34.014
358,11,-118.482,34.014
359,12,-118.48,34.014
360,1,-118.478,34.014
361,3,-118.477,34.014
362,1,-118.476,34.014
363,8,-118.475,34.014
364,1,-118.474,34.014
365,3,-118.473,34.014
367,2,-118.471,34.014
369,3,-118.466,34.014
370,3,-118.465,34.014
371,3,-118.464,34.014
372,7,-118.462,34.014
373,1,-118.461,34.014
374,2,-118.46,34.014
375,2,-118.457,34.014
377,4,-118.501,34.015
378,4,-118.5,34.015
379,18,-118.499,34.015
380,43,-118.497,34.015
381,51,-118.496,34.015
382,147,-118.495,34.015
383,21,-118.494,34.015
384,13,-118.493,34.015
385,15,-118.492,34.015
386,30,-118.491,34.015
387,58,-118.49,34.015
388,24,-118.486,34.015
389,11,-118.484,34.015
390,4,-118.483,34.015
391,7,-118.48,34.015
393,10,-118.478,34.015
394,1,-118.477,34.015
395,5,-118.475,34.015
396,5,-118.474,34.015
397,2,-118.473,34.015
399,2,-118.467,34.015
400,12,-118.466,34.015
401,1,-118.464,34.015
402,5,-118.463,34.015
403,3,-118.462,34.015
404,6,-118.461,34.015
406,1,-118.456,34.015
407,2,-118.448,34.015
408,4,-118.5,34.016
409,8,-118.499,34.016
410,70,-118.498,34.016
411,105,-118.497,34.016
412,28,-118.496,34.016
413,9,-118.495,34.016
414,93,-118.494,34.016
415,3,-118.493,34.016
416,19,-118.492,34.016
417,1,-118.491,34.016
418,5,-118.49,34.016
419,9,-118.489,34.016
420,11,-118.488,34.016
421,3,-118.486,34.016
422,3,-118.485,34.016
423,3,-118.483,34.016
424,9,-118.482,34.016
425,4,-118.481,34.016
426,15,-118.48,34.016
427,5,-118.478,34.016
428,2,-118.477,34.016
429,2,-118.476,34.016
430,1,-118.475,34.016
431,2,-118.474,34.016
433,1,-118.468,34.016
434,6,-118.467,34.016
435,4,-118.465,34.016
436,2,-118.464,34.016
437,1,-118.463,34.016
438,23,-118.461,34.016
439,5,-118.46,34.016
440,7,-118.459,34.016
441,2,-118.457,34.016
442,1,-118.504,34.017
443,1,-118.503,34.017
444,7,-118.502,34.017
445,59,-118.501,34.017
446,59,-118.499,34.017
447,24,-118.498,34.017
448,9,-118.497,34.017
449,54,-118.496,34.017
450,7,-118.495,34.017
451,6,-118.494,34.017
452,35,-118.493,34.017
453,12,-118.492,34.017
454,25,-118.491,34.017
455,32,-118.49,34.017
456,19,-118.489,34.017
457,6,-118.488,34.017
459,7,-118.484,34.017
460,3,-118.483,34.017
462,1,-118.481,34.017
463,2,-118.48,34.017
464,9,-118.479,34.017
468,3,-118.467,34.017
469,5,-118.466,34.017
470,1,-118.465,34.017
471,2,-118.463,34.017
472,1,-118.462,34.017
474,4,-118.459,34.017
476,1,-118.454,34.017
478,1,-118.447,34.017
479,6,-118.445,34.017
480,12,-118.504,34.018
481,4,-118.503,34.018
482,14,-118.501,34.018
483,9,-118.5,34.018
484,1,-118.499,34.018
485,130,-118.498,34.018
486,5,-118.497,34.018
487,3,-118.496,34.018
488,11,-118.495,34.018
489,38,-118.494,34.018
490,70,-118.493,34.018
491,35,-118.492,34.018
492,58,-118.49,34.018
493,7,-118.488,34.018
494,2,-118.487,34.018
495,2,-118.486,34.018
496,11,-118.484,34.018
498,1,-118.482,34.018
499,4,-118.48,34.018
502,3,-118.473,34.018
503,6,-118.472,34.018
504,14,-118.468,34.018
505,6,-118.467,34.018
506,13,-118.465,34.018
508,1,-118.462,34.018
510,4,-118.46,34.018
511,5,-118.459,34.018
512,6,-118.458,34.018
513,2,-118.457,34.018
515,6,-118.504,34.019
516,11,-118.502,34.019
517,4,-118.501,34.019
518,11,-118.5,34.019
519,15,-118.499,34.019
520,19,-118.498,34.019
521,11,-118.497,34.019
522,5,-118.496,34.019
523,3,-118.495,34.019
524,13,-118.494,34.019
525,7,-118.493,34.019
526,20,-118.492,34.019
527,47,-118.491,34.019
528,21,-118.489,34.019
529,1,-118.488,34.019
530,3,-118.487,34.019
531,2,-118.486,34.019
532,11,-118.485,34.019
533,9,-118.483,34.019
536,4,-118.48,34.019
538,4,-118.478,34.019
539,16,-118.476,34.019
541,12,-118.474,34.019
542,2,-118.472,34.019
543,5,-118.471,34.019
544,23,-118.47,34.019
545,20,-118.469,34.019
546,1,-118.464,34.019
547,4,-118.463,34.019
548,5,-118.462,34.019
549,1,-118.461,34.019
550,2,-118.459,34.019
551,1,-118.458,34.019
552,7,-118.456,34.019
553,2,-118.455,34.019
554,18,-118.451,34.019
555,6,-118.507,34.02
556,16,-118.506,34.02
557,11,-118.505,34.02
558,4,-118.504,34.02
559,20,-118.503,34.02
560,16,-118.502,34.02
